id,num_vertices,num_faces,volume,surface_area,average_edge_length,genus,max_ver_magdisp,max_hor_magdisp,max_dia_magdisp,max_tor_magdisp,category,num_tets,mass,density,principal_str1,principal_str2,VM_stress
0,42360,84764,307642.70359097305,73622.29836912792,1.3470765411451024,12.0,0.3218256,0.2398733,0.1656672,0.1749505,block,570111,1.3751628850516495,4.47e-06,659.8771635565815,413.0293364434185,578.3250687532316
4,35622,71368,104015.59872298413,39149.66754684719,1.0485144030150015,32.0,1.222151,1.000106,0.6117905,0.3997367,beam,431759,0.4649497262917391,4.47e-06,1062.3703004128142,903.4852995871856,993.1653605157401
6,35186,70532,114996.43975304914,58499.675375228704,1.306740289802938,41.0,4.433872,0.9654084,3.76125,0.4957121,block,314815,0.5140340856961297,4.47e-06,4824.582761625881,1664.6342383741185,4244.898019348992
8,24577,49174,89326.26856864101,30458.40876419841,1.1300231371041438,6.0,1.516299,1.608428,0.3757124,0.5833325,beam,293971,0.3992884205018253,4.4699999999999996e-06,1016.7933059772643,949.0833940227358,985.716598335135
9,38322,76720,78486.3213117592,38243.142004311085,0.9895066473315292,20.0,2.183306,1.88095,0.787904,0.6043976,beam,481030,0.3508338562635636,4.47e-06,1926.024972397805,1671.4800276021952,1812.8938411961688
10,43107,86250,89919.88528275519,69797.80972083045,1.2926922316502507,10.0,0.98185,0.8286518,0.4665779,0.3961667,block,401725,0.4019418872139157,4.47e-06,791.2312809134648,604.8622190865351,717.9933411879598
12,45862,91792,164079.85278731736,46607.6522412569,0.9992946722834036,18.0,0.7475083,0.7642335,0.2016566,0.2715657,butterfly,625048,0.7334369419593086,4.47e-06,1852.2389555731386,1131.9540444268616,1617.647636795789
14,39157,78710,211506.4406569465,61185.84616055647,1.2869115891704193,100.0,1.168271,0.9337082,0.3764596,0.2022859,butterfly,469738,0.945433789736551,4.47e-06,1331.149001352054,764.3077986479459,1157.485946428223
15,20730,41484,129481.0876004323,48599.39154042077,1.604276213688996,7.0,0.6602831,0.6776149,0.2996366,0.2322743,beam,224221,0.5787804615739325,4.47e-06,839.9475470091027,641.8088529908973,761.1562410475724
16,25703,51446,98714.93865364912,32239.874929130845,1.1568889965714968,11.0,1.327584,1.026911,0.5734717,0.3732003,flat,303819,0.4412557757818116,4.47e-06,1762.5919126137658,1248.8840873862343,1570.652477513406
19,37987,75994,93522.85030633993,42798.433277727454,1.0468154073511473,6.0,1.464788,1.613414,0.5211643,0.6637756,flat,438547,0.4180471408693395,4.47e-06,1204.3415994636239,839.7841005363763,1070.9518016550467
20,27529,55254,93875.5033490189,53155.74975759405,1.4317761980267234,50.0,1.069466,1.007401,0.6355884,0.3833724,arch,267823,0.4196234999701145,4.47e-06,796.1830072235662,656.1745927764339,737.2029915541852
21,15564,31148,72802.09743533103,27713.388501747715,1.3825284893067773,6.0,2.165065,1.490522,1.743223,0.6254251,arch,176078,0.3254253755359297,4.47e-06,1011.3961880450681,786.8328119549317,920.9590483409129
22,40427,80886,173762.23226663907,84855.88713619953,1.5169701957295074,9.0,0.5641687,0.412142,0.3189507,0.189726,block,346004,0.7767171782318767,4.47e-06,682.3588887966572,535.6134112033427,622.8787654009325
23,19039,38106,45453.15481393392,23265.68753817487,1.136483332494525,8.0,4.074253,5.154334,0.7986945,1.358528,beam,207884,0.2031756020182846,4.4699999999999996e-06,2711.8953386445432,2403.323661355457,2572.196223173691
